customer_id,store_id,first_name,last_name,email,active,create_date,last_update,address,district,city,postal_code,country,phone
1,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","663 Baha Blanca Parkway",Adana,Adana,33463,Turkey,834418779292
2,1,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","614 Pak Kret Street","Addis Abeba","Addis Abeba",27796,Ethiopia,47808359842
3,1,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","751 Lima Loop",Aden,Aden,99405,Yemen,756460337785
4,2,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","230 Urawa Drive","Andhra Pradesh",Adoni,2738,India,166898395731
5,1,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","922 Vila Velha Loop",Maharashtra,Ahmadnagar,4085,India,510737228015
6,2,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","923 Tangail Boulevard",Tokyo-to,Akishima,33384,Japan,315528269898
7,1,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","98 Pyongyang Boulevard",Ohio,Akron,88749,"United States",191958435142
8,2,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","669 Firozabad Loop","Abu Dhabi",al-Ayn,92265,"United Arab Emirates",412903167998
9,2,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1124 Buenaventura Drive",Mekka,al-Hawiya,6856,"Saudi Arabia",407733804223
10,1,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1759 Niznekamsk Avenue",al-Manama,al-Manama,39414,Bahrain,864392582257
